"Target String","URL Safe String","User","Hub","Submission Form","Description","Data","Thank you Messagte","Redirect Page URL","Confirmation from Email","Confirmation from Name","Confirmation Email Subject","Confirmation Emali Body","Submission Button Label"
".com",".com","Field Digital","Your FA website program","Theme 1 Clone","Yes, please redesign my website into Theme 1.","{""fields"":[{""label"":""Advisor or team name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c9""},{""label"":""Name of person submitting request"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c13""},{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c1""},{""label"":""Current Website URL"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c15""}]}","<p style=""text-align: center;""><strong>Thank you for selecting Theme 1 for your newly redesigned FA or team website. </strong><br />
<br />
When your website is ready for your review, you will receive an email from <a href=""mailto:onlinesolutions@rbc.com"">onlinesolutions@rbc.com</a>. In the meantime, please don&#39;t hesitate to contact us with any questions.&nbsp;</p>","","","","","","Submit"
".com",".com","Field Digital","Your FA website program","Theme 1 Clone Clone","Yes, please redesign my website into Theme 1.","{""fields"":[{""label"":""Advisor or team name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c9""},{""label"":""Name of person submitting request"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c13""},{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c1""},{""label"":""Current Website URL"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c15""}]}","<p style=""text-align: center;""><strong>Thank you for selecting Theme 1 for your newly redesigned FA or team website. </strong><br />
<br />
When your website is ready for your review, you will receive an email from <a href=""mailto:onlinesolutions@rbc.com"">onlinesolutions@rbc.com</a>. In the meantime, please don&#39;t hesitate to contact us with any questions.&nbsp;</p>","","","","","","Submit"
".com",".com","Online Solutions","The Dyer Kroneberger Group - Tombstone","Contact Brian","Please email me at brian.kroneberger@rbc.com or fill out the form below.","{""fields"":[{""label"":""Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c9""},{""label"":""Email Address"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c1""},{""label"":""Comments"",""field_type"":""paragraph"",""required"":true,""field_options"":{""size"":""medium""},""cid"":""c13""}]}","<p>Thank you! We will respond to your message shortly.</p>","","","","","",""
".com",".com","Rick G Wilkins","The Wilkins Investment Group","Contact","Please complete the following form to request more information. *indicates a required field","{""fields"":[{""label"":""Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""large""},""cid"":""c1""},{""label"":""Address"",""field_type"":""text"",""required"":false,""field_options"":{""size"":""large""},""cid"":""c5""},{""label"":""City, State, Zip"",""field_type"":""text"",""required"":false,""field_options"":{""size"":""large""},""cid"":""c13""},{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c31""},{""label"":""Phone"",""field_type"":""text"",""required"":false,""field_options"":{""size"":""large""},""cid"":""c41""},{""label"":""Preferred Contact Method "",""field_type"":""checkboxes"",""required"":true,""field_options"":{""options"":[{""label"":""Email"",""checked"":false},{""label"":""Phone"",""checked"":false}]},""cid"":""c35""},{""label"":""Additional Information you'd like us to know:"",""field_type"":""paragraph"",""required"":false,""field_options"":{""size"":""large""},""cid"":""c58""}]}","<p>Thanks for taking the time to send us your information. &nbsp;We look forward to talking with you.</p>","","Taylor.Morgenstern@rbc.com","Taylor Morgenstern","Thank Your For Your Interest","<p>Thank you for taking the time to reach out. &nbsp;We look forward to talking with you about your unique situation and learning how we can help. &nbsp;Someone will reach out to you shortly.</p>

<p>&nbsp;</p>

<p>If you would like to call us as well, we would love to hear from you. &nbsp;My direct line is &nbsp;303.595.1175</p>

<p>&nbsp;</p>

<p>Best,</p>

<p>&nbsp;</p>

<p>Taylor</p>",""
".com",".com","Larry Prutch","The PVG Group","RSVP for Tax Seminar","Please fill in in the form below to RSVP for our event","{""fields"":[{""label"":""First Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c9""},{""label"":""Last Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c13""}]}","<p>Thank you for RSVP to our event. We look forward to seeing you there.&nbsp;</p>","","george.castrillon@rbc.com","PVG Group","Thank you for RSVPing","<p>Mrs.&nbsp;{{Last Name}},</p>

<p>&nbsp;</p>

<p>As a reminder here are the details for the event.&nbsp;</p>

<p>&nbsp;</p>

<p>We look forward to seeing you.&nbsp;</p>",""
".com",".com","Larry Prutch","The PVG Group","Request a meeting with the PVG Group","Meeting","{""fields"":[{""label"":""When to meet"",""field_type"":""radio"",""required"":true,""field_options"":{""options"":[{""label"":""morning (8am-12pm)"",""checked"":true},{""label"":""afternoon (12-4pm)"",""checked"":false}]},""cid"":""c1""}]}","<p>Request for meeting with PVG Group</p>","","george.castrillon@rbc.com","PVG Group","We have received your appointment request","<p>Thank you</p>",""
".com",".com","Marcus Hull","Hull Group","Ask our team a question?","Please complete the form below to get a quick answer.","{""fields"":[{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{""description"":""""},""cid"":""c1""},{""label"":""What are your questions?"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""medium"",""description"":""""},""cid"":""c5""}]}","","","marcus.hull@rbc.com","Marcus Hull","Question Submitted","<p>Thank you for submitting your questions, we will send you a response email&nbsp;as soon as possible.&nbsp; Take care.</p>",""
".com",".com","Larry Prutch","The PVG Group","In order to get your free Wealth Management publication, we need some information from you. Please enter the information below , and we will get you the E-Book to start helping you make smarter financial decisions. We will follow up with you soon.","In order to get your free Wealth Management publication, we need some information from you. Please enter the information below, and we will get you the E-Book to start helping you make smarter financial decisions. We will follow up with you soon.","{""fields"":[{""label"":""First Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c1""},{""label"":""Last Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c5""},{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c9""},{""label"":""Phone"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c13""},{""label"":""Address"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c17""},{""label"":""City"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c21""},{""label"":""State"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c25""},{""label"":""Subscribe to Our Informative Newsletter"",""field_type"":""dropdown"",""required"":true,""field_options"":{""options"":[{""label"":""Yes"",""checked"":false},{""label"":""No"",""checked"":false}],""include_blank_option"":false},""cid"":""c33""},{""label"":""Request a FREE No Obligation Consultation"",""field_type"":""dropdown"",""required"":true,""field_options"":{""options"":[{""label"":""Yes"",""checked"":false},{""label"":""No"",""checked"":false}],""include_blank_option"":false},""cid"":""c37""},{""label"":""How did you hear about PVG Group at RBC Wealth Management"",""field_type"":""dropdown"",""required"":true,""field_options"":{""options"":[{""label"":""Referral"",""checked"":false},{""label"":""LinkedIn"",""checked"":false},{""label"":""Facebook"",""checked"":false},{""label"":""Google/ Yahoo/ Bing "",""checked"":false},{""label"":""Other"",""checked"":false}],""include_blank_option"":false},""cid"":""c41""}]}","","us.rbcwealthmanagement.com/PVG/market-commentary","","","","","Submit Request Now"
".com",".com","Tom Dexter","Dexter - Morris Wealth Management Team","Newsletter subscription form","If you would like to receive our monthly newsletter with timely articles and market commentary, please subscribe today.","{""fields"":[{""label"":""please provide E-mail address"",""field_type"":""email"",""required"":true,""field_options"":{""description"":""""},""cid"":""c9""}]}","<p><span style=""font-size: 14px;"">Thank you for subscribing to our monthly newsletter!&nbsp; If anything you read in the monthly newsletter spurs a question or investment idea, please contact us anytime. We&#39;re happy to discuss any of the topics with you.</span></p>","","brynn.morris@rbc.com","Brynn Morris","Thanks for subscribing!","<p class=""ckePara""><span style=""font-size: 12px;"">Thank you for subscribing to our monthly newsletter!&nbsp; </span></p>

<p class=""ckePara"">&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">If anything you read in the monthly newsletter spurs a question or investment idea, please contact us anytime. We&#39;re happy to discuss any of the topics with you.</span></p>

<p class=""ckePara"">&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">Thank you,</span></p>

<p class=""ckePara"">&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">Brynn Morris</span></p>

<p class=""ckePara""><span style=""font-size: 12px;"">Financial Advisor</span></p>

<p class=""ckePara""><span style=""font-size: 12px;"">Dexter-Morris Wealth Management</span><br />
&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">RBC Wealth Management</span></p>

<p class=""ckePara""><span style=""font-size: 12px;"">4001 West 114th Street, Suite 200<br />
Leawood, KS 66211</span></p>

<p class=""ckePara""><span style=""font-size: 12px;"">Direct <span class=""baec5a81-e4d6-4674-97f3-e9220f0136c1"" style=""white-space: nowrap;"">913-451-3584<a href=""#"" style=""margin: 0px; border: currentColor; border-image: none; left: 0px; top: 0px; width: 16px; height: 16px; right: 0px; bottom: 0px; overflow: hidden; vertical-align: middle; float: none; display: inline; white-space: nowrap; position: static !important;"" title=""Call: 913-451-3584""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABcklEQVR4XpXTPUvDUBTH4aR2c2hBQXGpTiIORhBcBOvgYKf0Awi+4Ggr1MVPIIrYdnEpShddHIyLi6AVXVxsRRDRwbi4KNgu4lCIv8i/i6QRDzycy+09555LqOl5nhEUptPoJe1iDHU8oYlrlDw79m4QEbSLPexzsIc8hDRm8YBjLpj4q8EgxQdab+MNd4ghhQ2adIc1+ORAFEnWWfTDRp7GDfImlsIavKALLuqoqMGUCs4wHtagiQ5uc8kDyCOBKlP1k78QNTOZnMXCQRxWsbjl6iuskV41SQG2Gj9rikvcR1WcgKFDBa1LOEUK56hqv8BUFV3SGWkVS9JQ6Dsv4wQ1DKMPORUvkm78BhdQMI1CTa5I0yrcwSFqFD+SZ7DQesIkCG5S/JpkHYERQRmuNsrZ7Grc+Ef8/Bcoslkfae8Wc7CUHZ++TuAEBj86pHntjaDKXllPy6PW/gkKFaThwp/K87N8hDcQTTKKFTioSxqB8Q2BNX5JtAljwgAAAABJRU5ErkJggg=="" style=""margin: 0px; border: currentColor; border-image: none; left: 0px; top: 0px; width: 16px; height: 16px; right: 0px; bottom: 0px; overflow: hidden; vertical-align: middle; float: none; display: inline; white-space: nowrap; position: static !important;"" title=""Call: 913-451-3584"" /></a></span><br />
Fax <span class=""baec5a81-e4d6-4674-97f3-e9220f0136c1"" style=""white-space: nowrap;"">913-451-3595<a href=""#"" style=""margin: 0px; border: currentColor; border-image: none; left: 0px; top: 0px; width: 16px; height: 16px; right: 0px; bottom: 0px; overflow: hidden; vertical-align: middle; float: none; display: inline; white-space: nowrap; position: static !important;"" title=""Call: 913-451-3595""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABcklEQVR4XpXTPUvDUBTH4aR2c2hBQXGpTiIORhBcBOvgYKf0Awi+4Ggr1MVPIIrYdnEpShddHIyLi6AVXVxsRRDRwbi4KNgu4lCIv8i/i6QRDzycy+09555LqOl5nhEUptPoJe1iDHU8oYlrlDw79m4QEbSLPexzsIc8hDRm8YBjLpj4q8EgxQdab+MNd4ghhQ2adIc1+ORAFEnWWfTDRp7GDfImlsIavKALLuqoqMGUCs4wHtagiQ5uc8kDyCOBKlP1k78QNTOZnMXCQRxWsbjl6iuskV41SQG2Gj9rikvcR1WcgKFDBa1LOEUK56hqv8BUFV3SGWkVS9JQ6Dsv4wQ1DKMPORUvkm78BhdQMI1CTa5I0yrcwSFqFD+SZ7DQesIkCG5S/JpkHYERQRmuNsrZ7Grc+Ef8/Bcoslkfae8Wc7CUHZ++TuAEBj86pHntjaDKXllPy6PW/gkKFaThwp/K87N8hDcQTTKKFTioSxqB8Q2BNX5JtAljwgAAAABJRU5ErkJggg=="" style=""margin: 0px; border: currentColor; border-image: none; left: 0px; top: 0px; width: 16px; height: 16px; right: 0px; bottom: 0px; overflow: hidden; vertical-align: middle; float: none; display: inline; white-space: nowrap; position: static !important;"" title=""Call: 913-451-3595"" /></a></span><br />
brynn.morris@rbc.com</span></p>

<p class=""ckePara""><span style=""font-size: 12px;"">NMLS #1733593 through City National Bank</span></p>

<p class=""ckePara"">&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">Please visit our website: www.dextermorriswm.com</span></p>

<p class=""ckePara"">&nbsp;</p>

<p class=""ckePara""><span style=""font-size: 12px;"">The highest compliment I can receive is a referral to a friend, family member or colleague. Thank you for your trust.</span></p>","Subscribe"
".com",".com","Field Digital","Julia Andersen","RSVP","Please fill out and submit the RSVP form below to attend my exclusive event, Investing for Retirement.","{""fields"":[{""label"":""Name"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c5""},{""label"":""Email"",""field_type"":""email"",""required"":true,""field_options"":{},""cid"":""c1""},{""label"":""# of guests attending"",""field_type"":""text"",""required"":true,""field_options"":{""size"":""small""},""cid"":""c9""},{""label"":""Dietary restrictions"",""field_type"":""radio"",""required"":false,""field_options"":{""options"":[{""label"":""Vegetarian"",""checked"":false},{""label"":""Vegan"",""checked"":false},{""label"":""Nut allergies"",""checked"":false},{""label"":""Other"",""checked"":false}]},""cid"":""c13""},{""label"":""Which session will you attend?"",""field_type"":""dropdown"",""required"":true,""field_options"":{""options"":[{""label"":""June 7, 2018"",""checked"":false},{""label"":""June 8 2018"",""checked"":false}],""include_blank_option"":true},""cid"":""c24""}]}","<p>Thank you for RSVPing! I look forward to seeing you at my seminar,</p>","","onlinesolutions@rbc.com","Julia Andersen","Thank you for RSVPing","<p>Dear&nbsp;{{Name}},</p>

<p>Thank you for RSVPing for The Art of Protecting Your Portfolio. I&#39;m looking forward to seeing you on&nbsp;{{Which session will you attend?}}. In the meantime, please call me at 555-555-5555 if you have any questions. I&#39;d love to chat with you.&nbsp;</p>

<p>&nbsp;</p>

<p>Thank you,</p>

<p><strong>Samantha Mitchell</strong></p>

<p><em>Financial Advisor</em></p>

<p>555-555-5555</p>

<p>samantha.m.mitchell@rbc.com</p>","Submit"
