"Target String","URL Safe String","User","Hub","Hub Type","Profile Name","Profile Locale","Biography","Job Title","Job Title 1","Job Title 2","Designation","InsureanceDesignation","Prov Licenses","Arkansas License Number","Califormatia License Number","nm ls Number","Language Spoken","Account Gender","Twitter","linkedin","facebook","youtube","websiteurl","alt text Photo"
".net",".net","Gary K MacPherson","The MacPherson Investment Team","PERSONAL","Chris Rasmussen","en_US","<p>Chris is a<a href=""https://www.cfp.net/"" target=""_blank"">&nbsp;CERTIFIED FINANCIAL PLANNER&trade;</a> who remains convinced that the key variables governing a rational investment strategy are your goals and your investing time horizon.&nbsp; The biggest retirement risk for Baby Boomers isn&#39;t declining markets, but rather outliving their money due to inflation and 30 plus year retirement horizons.<br />
<br />
<strong>&quot;Financially speaking, retirement is an &quot;income problem&quot;.</strong><br />
<br />
Chris specializes in creating Retirement Income Plans that help ensure that your retirement is built on a foundation of financial freedom and independence.<br />
<br />
Chris was recently featured on the front page of the Business section of the&nbsp;<a href=""http://seattletimes.nwsource.com/html/businesstechnology/2009309433_pfmakeover07.html"">Seattle Times</a>.&nbsp;&nbsp;<br />
<br />
Chris and his wife, Lindsay currently live in Maple Valley close to their hometown and family.&nbsp; They have two children, Nicholas and Katelyn.&nbsp;&nbsp;When Chris is not busy chasing around the kids he&nbsp;enjoys playing soccer, golfing, and watching the Seahawks and Sounders.&nbsp;&nbsp;<br />
<br />
Chris is also an active member within&nbsp;the&nbsp;Bellevue Breakfast Rotary Club&nbsp;and enjoys giving back to his local communities.&nbsp; The <a href=""http://www.bbrc.net/"" target=""_blank"">Bellevue Breakfast Rotary Club</a> is currently building water projects in Kenya,&nbsp;setting up computers for schools in Antigua, and&nbsp;teaming up with local charities such as Kindering and Seattle Children&#39;s Hospital.&nbsp;</p>","Senior Vice President - Financial Advisor","Portfolio Manager - Portfolio Focus","","CFP®","","AK, AZ, CA, CO, HI, ID, IL, KS, KY, MA, MI, MO, MT, NC, ND, NJ, NM, NV, NY, OR, VA, WA","","","","","","","","","","",""
".net",".net","Jennifer Metcalf","Jennifer Metcalf, CFP®","PERSONAL","Jennifer Metcalf","en_US","<p>Jennifer brings 15 years of industry experience and a strong work ethic to RBC Wealth Management. She holds the CERTIFIED FINANCIAL PLANNER&trade; certification, which is held only by approximately 6800 individuals in the state of California (https://www.cfp.net/), and is experienced in investment portfolio construction and management. Jennifer graduated from the University of Baltimore with a Bachelor of Science degree in Finance, cum laude, where she served as vice president of the Finance Society.&nbsp; Jennifer focuses on putting clients at the center of the relationship.&nbsp; She places a premium on providing attentive and tailored financial advice, and offers a comprehensive and detailed financial planning process.&nbsp;&nbsp;</p>

<p>Jennifer enjoys photography and crafting jewelry from natural materials found locally in the Monterey Bay area. She formerly played roller derby for the Monterey Bay Derby Dames. Jennifer was born and raised on the Monterey Peninsula, where she returned to in 2009, after living on the East coast for many years. Jennifer and her daughter, Shannon, live in Carmel Valley. She follows the deep-seated tradition of participating in the communities she serves and is active in the non-profit community.</p>","Financial Advisor","","","CFP®","","CA, HI, NM, WA","","0G50850 ","1231981","","","","https://www.linkedin.com/in/jennifer-metcalf-cfp%C2%AE-ab865b23","https://www.facebook.com/Jennifer-Metcalf-Financial-Advisor-at-RBC-Wealth-Management-2044556769204549/","","",""
".net",".net","Rick S Friedman","Rick S Friedman, AWM, CFP®","PERSONAL","Rick S Friedman","en_US","<h4>Qualifications</h4>

<p>Before beginning my career in the financial services industry, I earned a BA in Finance from the University of Houston. In 1991, I joined Merrill Lynch, where I became a Certified Financial Manager. I joined RBC Wealth Management in 1999. In 2005, I earned the&nbsp;&nbsp;<a href=""http://www.cfp.net/about-cfp-board/about-cfp-board"">CERTIFIED FINANCIAL PLANNER&trade;</a>&nbsp;certification &nbsp;(CFP&reg;) from Rice University and an Accredited Wealth Manager from the University of Michigan. In 2005, I was selected to join the President&rsquo;s Council designation from RBC Wealth Management which was reserved for the top 20% of the financial advisors at the firm.&nbsp;<strong>Since 2012, I have been awarded the Chairman&#39;s Council designation from RBC Wealth Management, which is reserved for the top 150 financial advisors at the firm.</strong>&nbsp;Based on my success in building a fee-based wealth management practice, I was selected to join RBC Wealth Management&rsquo;s exclusive Consulting Group. I was the host of &ldquo;Your Money&rdquo; on Business Radio AM1320 for over seven years and a have been a weekly guest on Money Mondays seen on News24Houston. In 2009, I was named one of the top financial professionals focusing in retirement income management by&nbsp;Consumer&#39;s Research Council of America. In 2011, I was named as one of the Top Wealth Managers in Texas by Newsweek Magazine. I have also been named to the 2015 Financial Times Top 400 Advisors list in the U.S.</p>

<h4>Personal</h4>

<p>I am a native Houstonian, currently living in Houston with my two children, Taylor and Joshua. We believe strongly in taking an active role in the community through a variety of organizations, such as SPCA, CAPS, Depelchin Children&#39;s Center and SIRE. When not spending time with my family, my interests include flying, golf, traveling and spending family time at our place in Chappell Hill, TX where I love working with my horses and cattle.</p>","Managing Director - Financial Advisor","Senior Portfolio Manager - Portfolio Focus","","AWM, CFP®","","AL, AR, AZ, CA, CO, FL, GA, LA, MD, MO, NC, NM, NV, NY, OH, OK, SC, TN, TX","","","","","","","https://www.linkedin.com/in/rickfriedmanrbc","https://www.facebook.com/FriedmanWealthManagementRBC/","","",""
".net",".net","Andrew Leonard","The Leonard Group","PERSONAL","Andrew Leonard","en_US","<p>Andrew has been in the financial services industry for over 10 years. Andrew enjoys working with clients and helping them reach their financial goals. Andrew originally started his career with First Command Financial Services before moving to RBC Wealth Management in 2012.</p>

<p>Andrew focuses on the development and implementation of wealth strategies for professionals, families, business owners, and small organizations. He holds a Bachelor of Science in Finance from Virginia Tech and has passed the Series 6, 7, 63, and 65 security exams. Andrew also holds his Life, Health, and Annuity licenses. Additionally, he has earned the <a href=""http://www.cfp.net/"">CERTIFIED FINANCIAL PLANNER<sup>TM</sup></a> designation through his studies at Boston University. The multi-year CFP&reg; program entails in-depth courses, training, and comprehensive examinations in all areas of financial planning including investments, taxes, insurance, estate, and retirement planning. He has also earned the designation of Certified Private Wealth Advisor&reg; through Yale University. The Certified Private Wealth Advisor&reg; (CPWA&reg;) is an advanced professional certification for advisors who serve high-net-worth clients. It&rsquo;s designed for seasoned professionals who seek the latest, most advanced knowledge and techniques to address the sophisticated needs of clients with a minimum net worth of $5 million.<br />
A native of Bethesda, Maryland and a graduate of Walt Whitman High School, Andrew is active within the community and a loyal supporter of Whitman&rsquo;s All-Sports Booster Club. Outside of the office Andrew Participates in local Business Networking (BNI) Groups and is currently the Vice President of the D.C. Chapter. Andrew lives in Arlington, Virginia where he enjoys playing squash and following local sport teams.</p>","Senior Vice President - Financial Advisor","Consulting Group","","CFP®, CPWA®","","CA, CO, CT, DC, DE, FL, IL, KY, MA, MD, ME, NC, NJ, NV, NY, OH, SC, TX, VA","","","1540168","","","","https://www.linkedin.com/in/andrew-leonard-cfp%C2%AE-cpwa%C2%AE-b911bb42","","","",""
".net",".net","Chris Rasmussen","Chris Rasmussen, CFP®","PERSONAL","Chris Rasmussen","en_US","<p>I am&nbsp;a<a href=""https://www.cfp.net/"" target=""_blank"">&nbsp;CERTIFIED FINANCIAL PLANNER&trade;</a> who remains convinced that the key variables governing a rational investment strategy are your goals and your investing time horizon.&nbsp; The biggest retirement risk for Baby Boomers isn&#39;t declining markets, but rather outliving their money due to inflation and 30 plus year retirement horizons.</p>

<p><strong>&quot;Financially speaking, retirement is an &quot;income problem&quot;.</strong></p>

<p>I specialize&nbsp;in creating retirement income plans that help ensure that your retirement is built on a foundation of financial freedom and independence.</p>

<p>I was recently featured on the front page of the Business section of the&nbsp;<a href=""http://seattletimes.nwsource.com/html/businesstechnology/2009309433_pfmakeover07.html"">Seattle Times</a>.&nbsp;&nbsp;</p>

<p>My wife, Lindsay, and I currently live in Maple Valley close to our hometown and family.&nbsp; We have two children, Nicholas and Katelyn.&nbsp;&nbsp;When I am&nbsp;not busy chasing around the kids, I enjoy playing soccer, golfing, and watching the Seahawks and Sounders.&nbsp;&nbsp;</p>

<p>I am also an active member within&nbsp;the&nbsp;Bellevue Breakfast Rotary Club&nbsp;and enjoy&nbsp;giving back to local communities.&nbsp; The <a href=""http://www.bbrc.net/"" target=""_blank"">Bellevue Breakfast Rotary Club</a> is currently building water projects in Kenya,&nbsp;setting up computers for schools in Antigua, and&nbsp;teaming up with local charities such as Kindering and Seattle Children&#39;s Hospital.&nbsp;</p>","Senior Vice President - Financial Advisor","Portfolio Manager - Portfolio Focus","","CFP®","","AZ, CA, CO, HI, ID, IL, MA, MO, MT, NC, ND, NV, NY, OR, VA, WA","","","","","","","","","","",""
".net",".net","Chris Rasmussen","Chris Rasmussen, CFP®","PERSONAL","Chris Rasmussen","en_US","<p>I am&nbsp;a<a href=""https://www.cfp.net/"" target=""_blank"">&nbsp;CERTIFIED FINANCIAL PLANNER&trade;</a> who remains convinced that the key variables governing a rational investment strategy are your goals and your investing time horizon.&nbsp; The biggest retirement risk for Baby Boomers isn&#39;t declining markets, but rather outliving their money due to inflation and 30 plus year retirement horizons.</p>

<p><strong>&quot;Financially speaking, retirement is an &quot;income problem&quot;.</strong></p>

<p>I specialize&nbsp;in creating retirement income plans that help ensure that your retirement is built on a foundation of financial freedom and independence.</p>

<p>I was recently featured on the front page of the Business section of the&nbsp;<a href=""http://seattletimes.nwsource.com/html/businesstechnology/2009309433_pfmakeover07.html"">Seattle Times</a>.&nbsp;&nbsp;</p>

<p>My wife, Lindsay, and I currently live in Maple Valley close to our hometown and family.&nbsp; We have two children, Nicholas and Katelyn.&nbsp;&nbsp;When I am&nbsp;not busy chasing around the kids, I enjoy playing soccer, golfing, and watching the Seahawks and Sounders.&nbsp;&nbsp;</p>

<p>I am also an active member within&nbsp;the&nbsp;Bellevue Breakfast Rotary Club&nbsp;and enjoy&nbsp;giving back to local communities.&nbsp; The <a href=""http://www.bbrc.net/"" target=""_blank"">Bellevue Breakfast Rotary Club</a> is currently building water projects in Kenya,&nbsp;setting up computers for schools in Antigua, and&nbsp;teaming up with local charities such as Kindering and Seattle Children&#39;s Hospital.&nbsp;</p>","Senior Vice President - Financial Advisor","Portfolio Manager - Portfolio Focus","","CFP®","","AZ, CA, CO, HI, ID, IL, MA, MO, MT, NC, ND, NV, NY, OR, VA, WA","","","","","","","","","","",""
".net",".net","Sean O'Neill","Sean O'Neill, CFP®, CRPS®","PERSONAL","Sean O'Neill","en_US","<h4>Qualifications</h4>

<p>After graduating from&nbsp;<a href=""http://www.asu.edu/"" target=""_blank"">Arizona State University&rsquo;s&nbsp;</a>College of Liberal Arts &amp; Sciences in 1994, I started in the securities industry by working in many&nbsp;capacities including operations, compliance, sales support and trading. In 2003, I began my career as&nbsp;a&nbsp;Wealth Manager. Currently, I have passed the Series 7, 63, and 65 exams. Additionally, I have an agent license for life and health insurance in various states.</p>

<p>&nbsp;</p>

<p>I&nbsp;completed&nbsp;<a href=""http://www.bryant.edu/"" target=""_blank"">Bryant University&rsquo;s</a>&nbsp;Certificate Program in Financial Planning, and in 2012, after&nbsp;fulfilling the required coursework at the College of Financial Planning, I received the&nbsp;<a href=""http://www.cfp.net/"" target=""_blank"">CERTIFIED FINANCIAL PLANNER&trade;</a>&nbsp;certificate. The multi-year CFP&reg; program entails in-depth courses, training and comprehensive&nbsp;examinations in all areas of financial planning including investments, taxes, insurance, estate, and retirement planning. Additionally, I am a member of the&nbsp;<a href=""http://www.plannersearch.org/why-cfp/Pages/Why-Hire-a-Certified-Financial-Planner.aspx"" target=""_blank"">Financial Planning Association.</a></p>

<p>As a Chartered Retirement Plans Specialist (CRPS&reg;), I assist businesses, large and small, in the construction, implementation and management of their company retirement plans.</p>

<p>&nbsp;</p>

<p>My previous firm experience includes three years at Deutsche Bank Alex. Brown as an associate and six years as a financial advisor at UBS Financial Services Inc., before joining RBC Wealth Management in 2009.</p>

<p>&nbsp;</p>

<p>I regularly host continuing education classes for Certified Public Accountants, and wrote a monthly financial column, titled &quot;Sound Advice,&quot; in&nbsp;<a href=""http://www.capitalgazette.com/"" target=""_blank"">The Capital</a>&nbsp;newspaper, while being quoted in national publications such as <a href=""https://www.usatoday.com/"" target=""_blank"">USA Today</a></p>

<h4>&nbsp;</h4>

<h4>Personal</h4>

<p>Currently, I live in Annapolis, Maryland, with my wife and two children, where I enjoy being active in my community and serving on the board of directors for the&nbsp;<a href=""https://www.aaestateplanning.org/"" target=""_blank"">Anne Arundel Estate Planning Council</a>&nbsp;as Membership Chair and the&nbsp;&nbsp;<a href=""http://www.am-fm.org/"" target=""_blank"">Annapolis Musicians Fund for Musicians</a>&nbsp;(AMFM) as Treasurer.&nbsp;My prior leadership roles have contributed to the success of the Annapolis Business Association, Downtown Annapolis Partnership, Maryland Seafood Festival, Eastport-A-Rockin&rsquo; Street Festival, the Entrepreneurs&rsquo; Exchange organization, the Admiral Heights Improvement Association board of directors, Chairman of the 2014 City of Annapolis Economic Development Transition Team, the City of Annapolis Alcohol Beverage Control Board, and the Annapolis &amp; Anne Arundel County Chamber of Commerce.<br />
<br />
In my free time, I like to&nbsp;snow ski, sail and cheer on my alma mater, the&nbsp;Arizona State University Sun Devils.</p>","Senior Vice President - Financial Advisor","Senior Consulting Group","","CFP®, CRPS®","","CA, DC, DE, FL, GA, HI, KY, MD, NC, NH, NJ, NY, OH, PA, SC, TX, VA","","","","","","https://twitter.com/SeanONeillRBC","https://www.linkedin.com/in/seanoneillrbc","https://www.facebook.com/SeanOneillRBC/","","",""
".net",".net","Rick S Friedman","Rick S Friedman, AWM, CFP®","PERSONAL","Rick S Friedman","en_US","<h4>Qualifications</h4>

<p>Before beginning my career in the financial services industry, I earned a BA in Finance from the University of Houston. In 1991, I joined Merrill Lynch, where I became a Certified Financial Manager. I joined RBC Wealth Management in 1999. In 2005, I earned the&nbsp;&nbsp;<a href=""http://www.cfp.net/about-cfp-board/about-cfp-board"">CERTIFIED FINANCIAL PLANNER&trade;</a>&nbsp;certification &nbsp;(CFP&reg;) from Rice University and an Accredited Wealth Manager from the University of Michigan. In 2005, I was selected to join the President&rsquo;s Council designation from RBC Wealth Management which was reserved for the top 20% of the financial advisors at the firm.&nbsp;<strong>Since 2012, I have been awarded the Chairman&#39;s Council designation from RBC Wealth Management, which is reserved for the top 150 financial advisors at the firm.</strong>&nbsp;Based on my success in building a fee-based wealth management practice, I was selected to join RBC Wealth Management&rsquo;s exclusive Consulting Group. I was the host of &ldquo;Your Money&rdquo; on Business Radio AM1320 for over seven years and a have been a weekly guest on Money Mondays seen on News24Houston. In 2009, I was named one of the top financial professionals focusing in retirement income management by&nbsp;Consumer&#39;s Research Council of America. In 2011, I was named as one of the Top Wealth Managers in Texas by Newsweek Magazine. I have also been named to the 2015 Financial Times Top 400 Advisors list in the U.S.</p>

<h4>Personal</h4>

<p>I am a native Houstonian, currently living in Houston with my two children, Taylor and Joshua. We believe strongly in taking an active role in the community through a variety of organizations, such as SPCA, CAPS, Depelchin Children&#39;s Center and SIRE. When not spending time with my family, my interests include flying, golf, traveling and spending family time at our place in Chappell Hill, TX where I love working with my horses and cattle.</p>","Managing Director - Financial Advisor","Senior Portfolio Manager - Portfolio Focus","","AWM, CFP®","","AL, AR, CA, CO, FL, GA, LA, MD, MO, NC, NM, NV, NY, OH, OK, SC, TN, TX","","","","","","","https://www.linkedin.com/in/rickfriedmanrbc","https://www.facebook.com/FriedmanWealthManagementRBC/","","",""
".net",".net","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Rick S. Friedman","en_US","<h4>Qualifications</h4>

<p>Before beginning my career in the financial services industry, I earned a BA in Finance from the University of Houston. In 1991, I joined Merrill Lynch, where I became a Certified Financial Manager. I joined RBC Wealth Management in 1999. In 2005, I earned the&nbsp;&nbsp;<a href=""http://www.cfp.net/about-cfp-board/about-cfp-board"">CERTIFIED FINANCIAL PLANNER&trade;</a>&nbsp;certification &nbsp;(CFP&reg;) from Rice University and an Accredited Wealth Manager from the University of Michigan. In 2005, I was selected to join the President&rsquo;s Council designation from RBC Wealth Management which was reserved for the top 20% of the financial advisors at the firm.&nbsp;<strong>Since 2012, I have been awarded the Chairman&#39;s Council designation from RBC Wealth Management, which is reserved for the top 150 financial advisors at the firm.</strong>&nbsp;Based on my success in building a fee-based wealth management practice, I was selected to join RBC Wealth Management&rsquo;s exclusive Consulting Group. I&nbsp;am&nbsp;the current host of &ldquo;Your Money&rdquo; on AM 700 KSEV&nbsp;- The Voice of Texas&nbsp;and&nbsp;have been a weekly guest on Money Mondays seen on News24Houston. In 2009, I was named one of the top financial professionals focusing in retirement income management by&nbsp;Consumer&#39;s Research Council of America. In 2011, I was named as one of the Top Wealth Managers in Texas by <em>Newsweek </em>Magazine. I have also been named to the 2015 <em>Financial Times</em> Top 400 Advisors and the&nbsp;2021 and 2022&nbsp;Forbes&nbsp;Best-In-State Top Wealth Advisor lists in the U.S.</p>

<h4>Personal</h4>

<p>I am a native Houstonian, currently living in West Houston with my two children, Taylor and Joshua. We believe strongly in taking an active role in the community through a variety of organizations, such as SPCA, CAPS, Depelchin Children&#39;s Center and SIRE. When not spending time with my family, my interests include flying, golf, traveling and spending family time at our place in Chappell Hill, TX where I love working with my horses and cattle.</p>","Managing Director - Financial Advisor","Senior Portfolio Manager - Portfolio Focus","","AWM, CFP®","","AL, AR, CA, CO, FL, GA, LA, MD, MO, NC, NM, NV, NY, OH, OK, SC, TN, TX","","","","","","","https://www.linkedin.com/in/rickfriedmanrbc","https://www.facebook.com/FriedmanWealthManagementRBC/","","",""
".net",".net","Sean O'Neill","Sean O'Neill, CFP®, CRPS®","PERSONAL","Sean O'Neill","en_US","<h4>Qualifications</h4>

<p>After graduating from&nbsp;<a href=""http://www.asu.edu/"" target=""_blank"">Arizona State University&rsquo;s&nbsp;</a>College of Liberal Arts &amp; Sciences in 1994, I started in the securities industry by working in many&nbsp;capacities including operations, compliance, sales support and trading. In 2003, I began my career as&nbsp;a&nbsp;Wealth Manager. Currently, I have passed the Series 7, 63, and 65 exams. Additionally, I have an agent license for life and health insurance in various states.</p>

<p>&nbsp;</p>

<p>I&nbsp;completed&nbsp;<a href=""http://www.bryant.edu/"" target=""_blank"">Bryant University&rsquo;s</a>&nbsp;Certificate Program in Financial Planning, and in 2012, after&nbsp;fulfilling the required coursework at the College of Financial Planning, I received the&nbsp;<a href=""http://www.cfp.net/"" target=""_blank"">CERTIFIED FINANCIAL PLANNER&trade;</a>&nbsp;certificate. The multi-year CFP&reg; program entails in-depth courses, training and comprehensive&nbsp;examinations in all areas of financial planning including investments, taxes, insurance, estate, and retirement planning. Additionally, I am a member of the&nbsp;<a href=""http://www.plannersearch.org/why-cfp/Pages/Why-Hire-a-Certified-Financial-Planner.aspx"" target=""_blank"">Financial Planning Association.</a></p>

<p>As a Chartered Retirement Plans Specialist (CRPS&reg;), I assist businesses, large and small, in the construction, implementation and management of their company retirement plans.</p>

<p>&nbsp;</p>

<p>My previous firm experience includes three years at Deutsche Bank Alex. Brown as an associate and six years as a financial advisor at UBS Financial Services Inc., before joining RBC Wealth Management in 2009.</p>

<p>&nbsp;</p>

<p>I regularly host continuing education classes for Certified Public Accountants, and wrote a monthly financial column, titled &quot;Sound Advice,&quot; in&nbsp;<a href=""http://www.capitalgazette.com/"" target=""_blank"">The Capital</a>&nbsp;newspaper, while being quoted in national publications such as <a href=""https://www.usatoday.com/"" target=""_blank"">USA Today</a></p>

<h4>&nbsp;</h4>

<h4>Personal</h4>

<p>Currently, I live in Annapolis, Maryland, with my wife and two children, where I enjoy being active in my community and serving on the board of directors for the&nbsp;<a href=""https://www.aaestateplanning.org/"" target=""_blank"">Anne Arundel Estate Planning Council</a>&nbsp;as Membership Chair and the&nbsp;&nbsp;<a href=""http://www.am-fm.org/"" target=""_blank"">Annapolis Musicians Fund for Musicians</a>&nbsp;(AMFM) as Treasurer.&nbsp;My prior leadership roles have contributed to the success of the Annapolis Business Association, Downtown Annapolis Partnership, Maryland Seafood Festival, Eastport-A-Rockin&rsquo; Street Festival, the Entrepreneurs&rsquo; Exchange organization, the Admiral Heights Improvement Association board of directors, Chairman of the 2014 City of Annapolis Economic Development Transition Team, the City of Annapolis Alcohol Beverage Control Board, and the Annapolis &amp; Anne Arundel County Chamber of Commerce.<br />
<br />
In my free time, I like to&nbsp;snow ski, sail and cheer on my alma mater, the&nbsp;Arizona State University Sun Devils.</p>","Senior Vice President - Financial Advisor","Senior Consulting Group","","CFP®, CRPS®","","CA, DC, DE, FL, GA, HI, KY, MD, NC, NH, NJ, NY, OH, PA, SC, TX, VA, WA","","","","","","https://twitter.com/SeanONeillRBC","https://www.linkedin.com/in/seanoneillrbc","https://www.facebook.com/SeanOneillRBC/","","",""
